,learning_rate,weight_decay,epoch,TP,TN,FP,FN,accuracy,precision,recall,f1_score
28,0.0023,1.1301e-06,9,477.0,935.0,198.0,310.0,0.7354166507720947,0.7066666483879089,0.6060991287231445,0.6525307479524218
29,0.0023,1.1301e-06,10,431.0,923.0,224.0,342.0,0.7052083611488342,0.658015251159668,0.5575678944587708,0.60364144531997
30,0.0023,1.1301e-06,11,500.0,872.0,251.0,297.0,0.7145833373069763,0.6657789349555969,0.6273525953292847,0.645994809530684
31,0.0023,1.1301e-06,12,438.0,946.0,213.0,323.0,0.7208333611488342,0.6728110313415527,0.5755584836006165,0.6203966412791649
32,0.0023,1.1301e-06,13,481.0,927.0,223.0,289.0,0.7333333492279053,0.6832386255264282,0.6246753334999084,0.652645818131175
33,0.0023,1.1301e-06,14,514.0,909.0,212.0,285.0,0.7411458492279053,0.707988977432251,0.6433041095733643,0.6740983698246954
34,0.0023,1.1301e-06,15,500.0,876.0,250.0,294.0,0.7166666388511658,0.6666666865348816,0.6297228932380676,0.64766838401516
35,0.0023,1.1301e-06,16,513.0,897.0,233.0,277.0,0.734375,0.6876675486564636,0.649367094039917,0.6679687068133875
36,0.0023,1.1301e-06,17,471.0,949.0,194.0,306.0,0.7395833134651184,0.7082706689834595,0.6061776280403137,0.6532593345130483
37,0.0023,1.1301e-06,18,537.0,873.0,245.0,265.0,0.734375,0.6867007613182068,0.6695760488510132,0.6780303436482237
38,0.0023,1.1301e-06,19,521.0,927.0,206.0,266.0,0.7541666626930237,0.716643750667572,0.6620076298713684,0.6882430523358218
39,0.0023,1.1301e-06,20,522.0,908.0,213.0,277.0,0.7447916865348816,0.7102040648460388,0.6533166170120239,0.6805736822042937
40,0.0004,1.1628e-06,1,115.0,971.0,164.0,670.0,0.565625011920929,0.4121863842010498,0.14649681746959686,0.21616541303248246
41,0.0004,1.1628e-06,2,143.0,1037.0,114.0,626.0,0.6145833134651184,0.5564202070236206,0.18595579266548157,0.27875244419872436
42,0.0004,1.1628e-06,3,239.0,965.0,178.0,538.0,0.6270833611488342,0.5731415152549744,0.30759331583976746,0.40033505054520496
43,0.0004,1.1628e-06,4,314.0,914.0,197.0,495.0,0.6395833492279053,0.6144813895225525,0.3881334960460663,0.47575756999280544
44,0.0004,1.1628e-06,5,402.0,853.0,248.0,417.0,0.6536458134651184,0.618461549282074,0.4908424913883209,0.547311073635135
45,0.0004,1.1628e-06,6,351.0,944.0,197.0,428.0,0.6744791865348816,0.6405109763145447,0.45057767629623413,0.5290128120453876
