,learning_rate,weight_decay,epoch,TP,TN,FP,FN,accuracy,precision,recall,f1_score
24,0.0037,1.1011e-06,5,343.0,1021.0,143.0,317.0,0.7478070259094238,0.7057613134384155,0.5196969509124756,0.5986038370647776
25,0.0037,1.1011e-06,6,385.0,1036.0,128.0,275.0,0.7790570259094238,0.7504873275756836,0.5833333134651184,0.6564364962483348
26,0.0037,1.1011e-06,7,411.0,1040.0,124.0,249.0,0.7955043911933899,0.76822429895401,0.6227272748947144,0.6878660606636118
27,0.0037,1.1011e-06,8,418.0,1057.0,107.0,242.0,0.8086622953414917,0.7961905002593994,0.6333333253860474,0.7054852454382047
28,0.0037,1.1011e-06,9,439.0,1033.0,131.0,221.0,0.8070175647735596,0.7701754570007324,0.6651515364646912,0.7138211234912871
29,0.0037,1.1011e-06,10,453.0,1063.0,101.0,207.0,0.8311403393745422,0.8176895380020142,0.6863636374473572,0.7462933085369859
30,0.0037,1.1011e-06,11,485.0,1043.0,121.0,175.0,0.8377193212509155,0.8003300428390503,0.7348484992980957,0.7661927761981256
31,0.0037,1.1011e-06,12,457.0,1052.0,112.0,203.0,0.8273026347160339,0.803163468837738,0.6924242377281189,0.7436940947794972
32,0.0037,1.1011e-06,13,493.0,1067.0,97.0,167.0,0.8552631735801697,0.8355932235717773,0.7469696998596191,0.7887999698693081
33,0.0037,1.1011e-06,14,497.0,1087.0,77.0,163.0,0.8684210777282715,0.8658536672592163,0.7530303001403809,0.8055105737529458
34,0.0037,1.1011e-06,15,503.0,1080.0,84.0,157.0,0.8678728342056274,0.8568994998931885,0.7621212005615234,0.8067361591243273
35,0.0037,1.1011e-06,16,515.0,1079.0,85.0,145.0,0.8739035129547119,0.8583333492279053,0.7803030014038086,0.8174603324720328
36,0.0037,1.1011e-06,17,543.0,1087.0,77.0,117.0,0.8936403393745422,0.875806450843811,0.8227272629737854,0.8484374383699876
37,0.0037,1.1011e-06,18,536.0,1092.0,72.0,124.0,0.8925438523292542,0.8815789222717285,0.8121212124824524,0.8454258812738311
38,0.0037,1.1011e-06,19,550.0,1096.0,68.0,110.0,0.9024122953414917,0.8899676203727722,0.8333333134651184,0.8607198651696835
39,0.0037,1.1011e-06,20,547.0,1097.0,67.0,113.0,0.9013158082962036,0.8908794522285461,0.8287878632545471,0.8587127134614365
40,0.0019,1.53391e-05,1,180.0,946.0,218.0,480.0,0.6173245906829834,0.4522612988948822,0.27272728085517883,0.34026466112375847
41,0.0019,1.53391e-05,2,212.0,1059.0,105.0,448.0,0.6968201994895935,0.6687697172164917,0.32121211290359497,0.4339815567802762
42,0.0019,1.53391e-05,3,277.0,1040.0,124.0,383.0,0.7220394611358643,0.690773069858551,0.41969695687294006,0.5221488888492886
43,0.0019,1.53391e-05,4,311.0,1069.0,95.0,349.0,0.7565789222717285,0.7660098671913147,0.47121211886405945,0.5834896811410435
44,0.0019,1.53391e-05,5,348.0,1058.0,106.0,312.0,0.7708333134651184,0.7665198445320129,0.5272727012634277,0.6247756174769316
