,learning_rate,weight_decay,epoch,TP,TN,FP,FN,accuracy,precision,recall,f1_score
24,0.0024,9.942e-07,5,644.0,619.0,319.0,338.0,0.6578124761581421,0.6687434911727905,0.655804455280304,0.6622107378252081
25,0.0024,9.942e-07,6,639.0,630.0,347.0,304.0,0.660937488079071,0.6480730175971985,0.6776245832443237,0.6625194074001071
26,0.0024,9.942e-07,7,586.0,712.0,287.0,335.0,0.6760416626930237,0.6712485551834106,0.6362649202346802,0.6532887110741235
27,0.0024,9.942e-07,8,596.0,697.0,284.0,343.0,0.6734374761581421,0.6772727370262146,0.6347177624702454,0.6553051152967524
28,0.0024,9.942e-07,9,680.0,650.0,295.0,295.0,0.6927083134651184,0.6974359154701233,0.6974359154701233,0.6974359015994571
29,0.0024,9.942e-07,10,647.0,649.0,314.0,310.0,0.675000011920929,0.673257052898407,0.676071047782898,0.6746611268290511
30,0.0024,9.942e-07,11,656.0,678.0,282.0,304.0,0.6947916746139526,0.6993603706359863,0.6833333373069763,0.6912539197763645
31,0.0024,9.942e-07,12,662.0,656.0,315.0,287.0,0.6864583492279053,0.6775844693183899,0.6975764036178589,0.6874351035560434
32,0.0024,9.942e-07,13,628.0,645.0,304.0,343.0,0.6630208492279053,0.6738197207450867,0.6467559337615967,0.6600104966765941
33,0.0024,9.942e-07,14,644.0,681.0,294.0,301.0,0.6901041865348816,0.6865671873092651,0.6814814805984497,0.6840148643816012
34,0.0024,9.942e-07,15,681.0,657.0,299.0,283.0,0.6968749761581421,0.6948979496955872,0.70643150806427,0.7006172330144165
35,0.0024,9.942e-07,16,737.0,641.0,288.0,254.0,0.7177083492279053,0.7190244197845459,0.7436932325363159,0.7311508035955506
36,0.0024,9.942e-07,17,607.0,730.0,258.0,325.0,0.6963541507720947,0.7017341256141663,0.6512875556945801,0.6755704509475269
37,0.0024,9.942e-07,18,687.0,722.0,257.0,254.0,0.7338541746139526,0.7277542352676392,0.730074405670166,0.7289124602497
38,0.0024,9.942e-07,19,653.0,727.0,244.0,296.0,0.71875,0.7279821634292603,0.6880927085876465,0.7074756183170878
39,0.0024,9.942e-07,20,695.0,693.0,262.0,270.0,0.7229166626930237,0.7262278199195862,0.7202072739601135,0.723205036734015
40,0.0031,2.95726e-05,1,568.0,463.0,473.0,416.0,0.5369791388511658,0.5456292033195496,0.577235758304596,0.5609876621064426
41,0.0031,2.95726e-05,2,585.0,550.0,397.0,388.0,0.5911458134651184,0.595723032951355,0.6012333035469055,0.5984654307356846
42,0.0031,2.95726e-05,3,571.0,625.0,348.0,376.0,0.6229166388511658,0.6213275194168091,0.6029567122459412,0.6120043349392992
43,0.0031,2.95726e-05,4,554.0,663.0,334.0,369.0,0.6338541507720947,0.6238738894462585,0.6002166867256165,0.6118166618882601
44,0.0031,2.95726e-05,5,556.0,727.0,283.0,354.0,0.6682291626930237,0.6626936793327332,0.6109890341758728,0.6357919120589082
45,0.0031,2.95726e-05,6,633.0,611.0,339.0,337.0,0.6479166746139526,0.6512345671653748,0.6525773406028748,0.6519052420064537
