,learning_rate,weight_decay,epoch,TP,TN,FP,FN,accuracy,precision,recall,f1_score
28,0.0003,2.0154e-06,9,404.0,537.0,136.0,194.0,0.7403619289398193,0.7481481432914734,0.6755852699279785,0.7100175146540165
29,0.0003,2.0154e-06,10,416.0,549.0,124.0,182.0,0.7592446804046631,0.770370364189148,0.695652186870575,0.7311072437803955
30,0.0003,2.0154e-06,11,395.0,552.0,121.0,203.0,0.7450826168060303,0.7655038833618164,0.6605350971221924,0.7091561767867237
31,0.0003,2.0154e-06,12,412.0,583.0,90.0,186.0,0.7828481793403625,0.8207171559333801,0.6889632344245911,0.7490909156951092
32,0.0003,2.0154e-06,13,436.0,560.0,113.0,162.0,0.7836349606513977,0.7941712141036987,0.7290970087051392,0.7602440894968736
33,0.0003,2.0154e-06,14,445.0,557.0,116.0,153.0,0.7883556485176086,0.7932263612747192,0.7441471815109253,0.7679033350640456
34,0.0003,2.0154e-06,15,417.0,579.0,94.0,181.0,0.7836349606513977,0.816046953201294,0.6973243951797485,0.7520288767009642
35,0.0003,2.0154e-06,16,465.0,564.0,109.0,133.0,0.8095987439155579,0.8101045489311218,0.7775919437408447,0.7935153519553609
36,0.0003,2.0154e-06,17,453.0,574.0,99.0,145.0,0.8080251812934875,0.820652186870575,0.7575250864028931,0.7878261552673939
37,0.0003,2.0154e-06,18,464.0,584.0,89.0,134.0,0.8245475888252258,0.8390596508979797,0.7759197354316711,0.80625541569548
38,0.0003,2.0154e-06,19,453.0,582.0,91.0,145.0,0.8143194317817688,0.8327205777168274,0.7575250864028931,0.7933449965472129
39,0.0003,2.0154e-06,20,487.0,571.0,102.0,111.0,0.8324154019355774,0.8268251419067383,0.8143812417984009,0.8205559974598031
40,0.0098,1.0509e-05,1,299.0,378.0,295.0,299.0,0.5326514840126038,0.503367006778717,0.5,0.5016778838454092
41,0.0098,1.0509e-05,2,320.0,459.0,214.0,278.0,0.6129032373428345,0.5992509126663208,0.5351170301437378,0.5653710241779749
42,0.0098,1.0509e-05,3,396.0,491.0,182.0,202.0,0.6978756785392761,0.6851211190223694,0.6622073650360107,0.673469436508435
43,0.0098,1.0509e-05,4,420.0,507.0,166.0,178.0,0.7293469905853271,0.7167235612869263,0.7023411393165588,0.7094594764876078
44,0.0098,1.0509e-05,5,385.0,484.0,189.0,213.0,0.6837136149406433,0.6707317233085632,0.6438127160072327,0.6569965915185344
45,0.0098,1.0509e-05,6,436.0,505.0,168.0,162.0,0.7403619289398193,0.7218543291091919,0.7290970087051392,0.725457631959086
